Min Level,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Avg Per Lvl,
 Ins. Spell saves,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,0.1724137931,
Striding,3,4,5,8,9,10,11,12,13,15,16,18,19,21,22,24,25,27,28,30,30,30,30,30,30,30,30,30,30,30,0.9310344828,
Tendon slice,1,2,2,3,3,3,4,4,4,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,0.3448275862,
 Ins. Tendon slice,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,0.1724137931,
Vampirism,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0.06896551724,d2
Vertigo/Stunning/Shatter,1,2,3,4,4,5,5,6,6,6,7,7,8,8,9,9,9,10,10,11,11,12,12,12,13,13,14,14,15,15,0.4827586207,
 Ins. Vertigo/Stunning/Shatter,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,0.2413793103,
Vitality,4,6,7,10,12,13,15,16,17,19,20,21,23,24,25,27,28,29,31,32,33,35,36,37,39,40,41,43,44,45,1.413793103,
Wizardry,19,33,41,60,71,79,88,96,104,112,121,129,137,145,154,162,170,178,187,195,203,211,220,228,236,244,253,261,269,277,8.896551724,
 Ins. Wizardry,0,0,0,0,0,0,0,0,0,56,60,64,68,72,77,81,85,89,93,97,101,105,110,114,118,122,126,130,134,138,4.75862069,
