enchantmentID,enchSortOrder,enchGroup,enchName,enchShortName,enchBonusType,enchEffect,enchCannithMinLevel,enchAugmentMinLevel,enchDesc,enchSupercededBy,allEnch,basic,nonscaling,forMeleeDmg,forRangedDmg,forACDefence,forResistDefence,forHitPoints,forAlchemist,forArtificer,forBarbarian,forBard,forCleric,forDruid,forFavoredSoul,forFighter,forMonk,forPaladin,forRanger,forRogue,forSorcerer,forWarlock,forWizard,enchNotes,createBy,createTime,updateBy,updateTime
1090,640,Ability,"Insightful Ability (Intelligence)","Ins. INT",Insight,INT,10,24,"Insight bonus to INT",NULL,1,0,0,0,0,0,0,0,16,32,0,0,0,0,0,0,0,0,0,32,0,0,32,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1100,704,Ability,"Insightful Ability (Strength)","Ins. STR",Insight,STR,10,24,"Insight bonus to STR",NULL,1,0,0,32,16,0,0,0,0,0,32,0,0,0,0,32,32,32,32,16,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1110,768,Ability,"Insightful Ability (Wisdom)","Ins. WIS",Insight,WIS,10,24,"Insight bonus to WIS",NULL,1,0,0,0,0,0,16,0,0,16,0,0,32,0,0,0,8,0,8,32,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1120,832,Ability,"Exceptional Ability (Charisma)","Ex. CHA",Exceptional,CHA,100,20,"Exceptional bonus to CHA",NULL,1,0,0,0,0,0,0,0,0,8,0,32,8,0,8,0,8,16,0,0,32,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1130,896,Ability,"Exceptional Ability (Constitution)","Ex. CON",Exceptional,CON,100,20,"Exceptional bonus to CON",NULL,1,1,0,0,0,0,8,32,0,1,32,8,8,8,8,16,16,16,16,8,8,8,8,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1140,960,Ability,"Exceptional Ability (Dexterity)","Ex. DEX",Exceptional,DEX,100,20,"Exceptional bonus to DEX",NULL,1,0,0,16,32,16,8,0,0,16,16,0,0,0,0,16,16,16,16,32,16,0,16,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1150,1024,Ability,"Exceptional Ability (Intelligence)","Ex. INT",Exceptional,INT,100,20,"Exceptional bonus to INT",NULL,1,1,0,0,0,0,0,0,16,32,0,0,0,0,0,0,0,0,0,32,0,0,32,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1160,1088,Ability,"Exceptional Ability (Strength)","Ex. STR",Exceptional,STR,100,20,"Exceptional bonus to STR",NULL,1,0,0,32,16,0,0,0,0,0,32,0,0,0,0,32,32,32,32,16,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1170,1152,Ability,"Exceptional Ability (Wisdom)","Ex. WIS",Exceptional,WIS,100,20,"Exceptional bonus to WIS",NULL,1,0,0,0,0,0,16,0,0,16,0,0,32,0,0,0,8,0,8,32,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1175,1184,Ability,"True Imperial Blood","Ex. ALL",Exceptional,"ALL Abilities",100,25,"+1 Exceptional bonus to ALL Ability Scores",NULL,1,1,1,0,0,0,16,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1180,1216,"Ability Damage","Ability Damage (Charisma)","Cha Dmg",Untyped,"CHA Damage",0,100,"Untyped bonus to CHA Damage",NULL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1190,1280,"Ability Damage","Ability Damage (Constitution)","Con Dmg",Untyped,"CON Damage",0,100,"Untyped bonus to CON Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1200,1344,"Ability Damage","Ability Damage (Dexterity)","Dex Dmg",Untyped,"DEX Damage",0,100,"Untyped bonus to DEX Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1210,1408,"Ability Damage","Ability Damage (Intelligence)","Int Dmg",Untyped,"INT Damage",0,100,"Untyped bonus to INT Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1220,1472,"Ability Damage","Ability Damage (Strength)","Str Dmg",Untyped,"STR Damage",0,100,"Untyped bonus to STR Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1230,1536,"Ability Damage","Ability Damage (Wisdom)","Wis Dmg",Untyped,"WIS Damage",0,100,"Untyped bonus to WIS Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1250,1664,"Arcane Spell Failure","Lesser Arcane Spell Dexterity","L. Arc. Spell Dex",Untyped,"Spell Failure Dex",1,100,"Untyped bonus to Spell Failure Dex",NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1260,1728,"Arcane Spell Failure",Twilight,Twilight,Enhancement,"Spell Failure Chance",1,12,"Enhancement reduction to Arcane Spell Failure Chance",NULL,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1270,1792,"Armor Class",Protection,Prot,Deflection,AC,0,0,"Deflection bonus to AC",NULL,1,1,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1280,1856,"Armor Class","Natural Armor","Nat. Armor","Natural Armor",AC,0,0,"Natural Armor bonus to AC",NULL,1,1,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1290,1920,"Armor Class",Dodge,Dodge,Dodge,AC,0,0,"Dodge bonus to AC",NULL,1,1,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1300,1984,"Armor Class","Insightful Dodge","Ins. Dodge",Insight,AC,10,100,"Insight bonus to AC",NULL,1,1,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1310,2048,"Armor Class","Max Dex Bonus",NULL,Enhancement,"Max AC",12,12,"Enhancement bonus to Max Dex bonus to AC (A.K.A. Armored Agility)",NULL,1,0,0,0,0,16,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1320,2112,"Combat Tactic",Assassinate,Assassinate,Enhancement,"Assassinate DC",0,100,"Enhancement bonus to Assassinate DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1330,2176,"Combat Tactic","Insightful Assassinate","Ins. Assassinate",Insight,"Assassinate DC",10,100,"Insight bonus to Assassinate DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1340,2240,"Combat Tactics","Combat Mastery","Combat Mastery",Enhancement,"Tactical Feat DC",0,100,"Enhancement bonus to ALL Tactical Feat DCs",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1350,2304,"Combat Tactics","Insightful Combat Mastery","Ins. Cbt Mstry",Insight,"Tactical Feat DC",10,100,"Insight bonus to ALL Tactical Feat DCs",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1370,2432,"Combat Tactics",Stunning,NULL,Enhancement,"Stunning DC",0,0,"Enhancement bonus to Stunning DC",NULL,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1380,2496,"Combat Tactics",Sunder,NULL,Enhancement,"Sunder DC",0,0,"Enhancement bonus to Sunder DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1390,2560,"Combat Tactics","Tendon Slice",NULL,Enhancement,"Hamstring DC",0,0,"Enhancement bonus to Tendon Slice DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1400,2624,"Combat Tactics",Trip,NULL,Enhancement,"Trip DC",0,0,"Enhancement bonus to Trip DC",NULL,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1420,2752,"Combat Tactics","Insightful Stunning",NULL,Insight,"Sunder DC",10,100,"Insight bonus to Stunning DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1430,2816,"Combat Tactics","Insightful Sunder",NULL,Insight,"Stunning DC",10,100,"Insight bonus to Sunder DC",NULL,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1440,2880,"Combat Tactics","Insightful Tendon Slice",NULL,Insight,"Hamstring DC",10,100,"Insight bonus to Tendon Slice DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1450,2944,"Combat Tactics","Insightful Trip",NULL,Insight,"Trip DC",10,100,"Insight bonus to Trip DC",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1460,3008,"Combat Tactics",Diversion,Diversion,Enhancement,"Threat Reduction",0,100,"Enhancement bonus to Threat Reduction",NULL,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1470,3072,"Combat Tactics","Insightful Diversion","Ins. Diversion",Insight,"Threat Reduction",10,100,"Insight bonus to Threat Reduction",NULL,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1480,3136,"Combat Tactics",Incite,Incite,Enhancement,"Threat Bonus",0,100,"Enhancement bonus to Threat Increase",NULL,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1490,3200,"Combat Tactics","Insightful Incite","Ins. Incite",Insight,"Threat Bonus",10,100,"Insight bonus to Threat Increase",NULL,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1510,3328,Damage,Deadly,Deadly,Competance,Damage,0,100,"Competance bonus to Damage",NULL,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1520,3392,Damage,"Insightful Deadly","Ins. Deadly",Insight,Damage,10,100,"Insight bonus to Damage",NULL,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1530,3456,Damage,"Damage (Acid)",Acid,Enhancement,"Acid Damage",0,0,"Enhancement bonus to Acid Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1540,3520,Damage,"Damage (Cold)",Cold,Enhancement,"Cold Damage",0,0,"Enhancement bonus to Cold Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1550,3584,Damage,"Damage (Electricity)",Electricity,Enhancement,"Electricity Damage",0,0,"Enhancement bonus to Electricity Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1560,3648,Damage,"Damage (Fire)",Fire,Enhancement,"Fire Damage",0,0,"Enhancement bonus to Fire Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1570,3712,Damage,"Damage (Force)",Force,Enhancement,"Force Damage",0,100,"Enhancement bonus to Force Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1580,3776,Damage,"Damage (Light)",Light,Enhancement,"Light Damage",0,100,"Enhancement bonus to Light Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1590,3840,Damage,"Damage (Negative)",Negative,Enhancement,"Negative Damage",0,100,"Enhancement bonus to Negative Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1600,3904,Damage,"Damage (Poison)",Poison,Enhancement,"Poison Damage",0,100,"Enhancement bonus to Poison Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1610,3968,Damage,"Damage (Sonic)",Sonic,Enhancement,"Sonic Damage",0,100,"Enhancement bonus to Sonic Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1620,4032,Damage,"Damage (Bludgeon)",Bludgeon,Enhancement,"Bludgeon Damage",0,100,"Enhancement bonus to Bludgeon Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1630,4096,Damage,"Damage (Piercing)",Piercing,Enhancement,"Piercing Damage",0,100,"Enhancement bonus to Piercing Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1640,4160,Damage,"Damage (Slashing)",Slash,Enhancement,"Slashing Damage",0,100,"Enhancement bonus to Slashing Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1650,4224,Damage,"Damage (Chaos)",Chaos,Enhancement,"Chaos Damage",0,100,"Enhancement bonus to Chaos Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1660,4288,Damage,"Damage (Evil)",Evil,Enhancement,"Evil Damage",0,100,"Enhancement bonus to Evil Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1670,4352,Damage,"Damage (Good)",Good,Enhancement,"Good Damage",0,100,"Enhancement bonus to Good Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1680,4416,Damage,"Damage (Law)",Law,Enhancement,"Law Damage",0,100,"Enhancement bonus to Law Damage",NULL,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1690,4480,Damage,"Bane (Aberration)","Abber. Bane",Untyped,"Aberration Damage",0,100,"Untyped bonus to Aberration Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1700,4544,Damage,"Bane (Animal)","Animal Bane",Untyped,"Animal Damage",0,100,"Untyped bonus to Animal Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1710,4608,Damage,"Bane (Chaotic Outsider)","CO Bane",Untyped,"Chaotic Outsider Damage",0,100,"Untyped bonus to Chaotic Outsider Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1720,4672,Damage,"Bane (Construct)","Construct Bane",Untyped,"Construct Damage",0,100,"Untyped bonus to Construct Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1730,4736,Damage,"Bane (Dragon)","Dragon Bane",Untyped,"Dragon Damage",0,100,"Untyped bonus to Dragon Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1740,4800,Damage,"Bane (Dwarf)","Dwarf Bane",Untyped,"Dwarf Damage",0,100,"Untyped bonus to Dwarf Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1750,4864,Damage,"Bane (Elemental)","Elem. Bane",Untyped,"Elemental Damage",0,100,"Untyped bonus to Elemental Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1760,4928,Damage,"Bane (Elf)","Elf Bane",Untyped,"Elf Damage",0,100,"Untyped bonus to Elf Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1770,4992,Damage,"Bane (Evil Outsider)","EO Bane",Untyped,"Evil Outsider Damage",0,100,"Untyped bonus to Evil Outsider Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1780,5056,Damage,"Bane (Giant)","Giant Bane",Untyped,"Giant Damage",0,100,"Untyped bonus to Giant Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1790,5120,Damage,"Bane (Gnoll)","Gnoll Bane",Untyped,"Gnoll Damage",0,100,"Untyped bonus to Gnoll Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1800,5184,Damage,"Bane (Goblinoid)","Goblin Bane",Untyped,"Goblinoid Damage",0,100,"Untyped bonus to Goblinoid Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1810,5248,Damage,"Bane (Halfling)","Halfling Bane",Untyped,"Halfling Damage",0,100,"Untyped bonus to Halfling Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1820,5312,Damage,"Bane (Human)","Human Bane",Untyped,"Human Damage",0,100,"Untyped bonus to Human Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1830,5376,Damage,"Bane (Incorporeal)","Incorp. Bane",Untyped,"Incorporeal Damage",0,100,"Untyped bonus to Incorporeal Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1840,5440,Damage,"Bane (Lawful Outsider)","LO Bane",Untyped,"Lawful Outsider Damage",0,100,"Untyped bonus to Lawful Outsider Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1850,5504,Damage,"Bane (Magical Beast)","Mag. Beast Bane",Untyped,"Magical Beast Damage",0,100,"Untyped bonus to Magical Beast Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1860,5568,Damage,"Bane (Monstrous Humanoid)","Mon. Hum. Bane",Untyped,"Monstrous Humanoid Damage",0,100,"Untyped bonus to Monstrous Humanoid Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1870,5632,Damage,"Bane (Ooze)","Ooze Bane",Untyped,"Ooze Damage",0,100,"Untyped bonus to Ooze Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1880,5696,Damage,"Bane (Orc)","Orc Bane",Untyped,"Orc Damage",0,100,"Untyped bonus to Orc Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1890,5760,Damage,"Bane (Plant)","Plant Bane",Untyped,"Plant Damage",0,100,"Untyped bonus to Plant Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1900,5824,Damage,"Bane (Reptilian)","Reptillian Bane",Untyped,"Reptilian Damage",0,100,"Untyped bonus to Reptilian Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
1910,5888,Damage,"Bane (Undead)","Undead Bane",Untyped,"Undead Damage",0,100,"Untyped bonus to Undead Damage",NULL,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NULL,0,"2021-05-16 23:53:26",0,"2021-05-16 23:53:26"
